id,w_foreign_language,w_literature,w_math,x_biology,x_chemistry,x_physics,y_civic_education,y_geography,y_history,z_average,z_max,z_min
33000088,3.20,2.50,3.20,-,-,-,6,5,3.75,3.94,6.0,2.5
33000093,5,8,6.40,-,-,-,8,6,4,6.23,8.0,4.0
33000086,5.40,8,7,-,-,-,7.75,7.50,5,6.77,8.0,5.0
33000096,4.40,6.25,7.20,-,-,-,9.75,6,6,6.6,9.75,4.4
33000097,8.20,8,7.20,-,-,-,9.25,7,5.75,7.57,9.25,5.75
33000095,4.80,7.50,7.40,-,-,-,8.50,7.75,6.50,7.08,8.5,4.8
33000094,8.80,8,8.40,-,-,-,8.75,6.75,5.75,7.74,8.8,5.75
33000098,9.40,6,9.40,5.75,5,8.25,-,-,-,7.3,9.4,5.0
33000099,6,8.75,6.40,-,-,-,9.50,8.25,8.25,7.86,9.5,6.0
33000101,4.80,6.75,8.40,-,-,-,9.25,9.50,9.25,7.99,9.5,4.8
33000100,8,4.75,8.80,4.75,8.25,8.75,-,-,-,7.22,8.8,4.75
33000102,8.40,5.50,7.60,1.75,3.50,7.25,-,-,-,5.67,8.4,1.75
33000103,7.40,8,5,-,-,-,7,7.50,2.75,6.27,8.0,2.75
33000104,5.40,7,8.60,5.75,8.25,7.25,-,-,-,7.04,8.6,5.4
33000105,3.20,6,4.40,-,-,-,8,6.75,1.50,4.98,8.0,1.5
33000106,2.80,5.75,5.80,-,-,-,9.25,7.50,4.50,5.93,9.25,2.8
33000107,6.60,7,7.80,-,-,-,9,7.75,5.75,7.32,9.0,5.75
33000108,5.80,6.50,5.40,-,-,-,8.25,7,2.75,5.95,8.25,2.75
33000109,9.80,8.50,7.60,-,-,-,8.75,7.75,5,7.9,9.8,5.0
33000110,5,6.50,6,-,-,-,6.75,5.50,2,5.29,6.75,2.0
33000112,4.60,6,7.20,5.25,8,7.50,-,-,-,6.42,8.0,4.6
33000114,7.60,7.75,8.40,-,-,-,7.50,7.25,5,7.25,8.4,5.0
33000113,6.20,6.75,8.60,-,-,-,6.25,6.50,3,6.22,8.6,3.0
33000111,5.80,6.75,6.60,-,-,-,7.50,7,3.25,6.15,7.5,3.25
33000115,3.60,6.25,6.60,-,-,-,9.50,8,7.25,6.87,9.5,3.6
33000116,3.20,6.25,5.20,-,-,-,9.75,6.50,3.50,5.73,9.75,3.2
33000117,5.20,5,6.60,-,-,-,8.50,6.75,4,6.01,8.5,4.0
33000120,3.60,4.50,7.20,5.25,8.25,4,-,-,-,5.47,8.25,3.6
33000124,3.60,6.50,5.60,-,-,-,6.25,6,4,5.33,6.5,3.6
33000118,4.60,5.50,7.40,-,-,-,9.25,6.50,5,6.38,9.25,4.6
33000119,4.60,6.25,6,-,-,-,5,6.50,3,5.23,6.5,3.0
33000121,6.40,5,8.80,4.50,7.25,8,-,-,-,6.66,8.8,4.5
33000123,2.60,6,4.40,-,-,-,9.25,8,4.25,5.75,9.25,2.6
33000122,4,5.50,5.60,-,-,-,7.25,8.25,4,5.77,8.25,4.0
33000126,3.60,6,6.80,-,-,-,9.25,7.25,3,5.98,9.25,3.0
33000127,2.60,6.50,5.60,-,-,-,9.25,7.25,4.75,5.99,9.25,2.6
33000130,3.20,4.50,3.80,-,-,-,7,6,3.25,4.62,7.0,3.2
33000125,9,7.50,8.40,-,-,-,8.75,8.25,3.75,7.61,9.0,3.75
33000129,3.80,4.75,8,-,-,-,8.75,8,5.50,6.47,8.75,3.8
33000132,4.40,5.25,7.20,-,-,-,8.50,8.50,3.50,6.23,8.5,3.5
33000131,1.60,6.25,5.40,-,-,-,8,6.50,3.50,5.21,8.0,1.6
33000128,2.80,4.50,5.40,-,-,-,7.75,8.25,5,5.62,8.25,2.8
33000135,3.80,6,8.80,4.25,8.75,7.75,-,-,-,6.56,8.8,3.8
33000134,2.80,6.75,8.40,4,7.25,7.25,-,-,-,6.08,8.4,2.8
33000136,5,6,7.40,-,-,-,7.75,7.50,8,6.94,8.0,5.0
33000137,6.60,5.75,8,4.75,6,7.75,-,-,-,6.48,8.0,4.75
33000133,4.80,6.50,8.80,5.75,8.50,8.50,-,-,-,7.14,8.8,4.8
33000138,7.80,8,6.80,-,-,-,7.75,7,8,7.56,8.0,7.0
33000140,2.80,7,7,-,-,-,8.75,8.25,6.25,6.67,8.75,2.8
33000139,4.20,7.25,5.60,-,-,-,7.75,7.75,7.50,6.67,7.75,4.2
33000143,7.20,6.25,8.80,5.50,8.50,8,-,-,-,7.38,8.8,5.5
33000145,2.40,5,5.80,-,-,-,8,6,4.50,5.28,8.0,2.4
33000144,3.60,8.75,7.60,7.25,7.75,4,-,-,-,6.49,8.75,3.6
33000142,7.80,7.25,6.60,-,-,-,8.50,8,5.50,7.27,8.5,5.5
33000141,5,6,6.20,-,-,-,9.50,6.25,5,6.33,9.5,5.0
33000147,3.40,7.75,6.40,-,-,-,8,6.50,5,6.17,8.0,3.4
33000148,7.40,5.50,7.20,-,-,-,8.25,7.75,4.50,6.77,8.25,4.5
33000146,4.20,7,5.60,-,-,-,9,7.75,7.50,6.84,9.0,4.2
33000149,4.80,6.25,5.60,-,-,-,7.25,6,1.50,5.23,7.25,1.5
33000150,4.60,6.75,4.80,-,-,-,7.75,6.50,5,5.9,7.75,4.6
33000151,8,7.50,8,-,-,-,9,7,5.25,7.46,9.0,5.25
33000152,4.40,6,7.20,-,-,-,7.50,7.25,3.50,5.98,7.5,3.5
33000153,7,7.25,7,-,-,-,7.75,6,5.25,6.71,7.75,5.25
33000154,3.80,5.75,5.40,-,-,-,8.25,7.50,2.25,5.49,8.25,2.25
33000156,7,7,7.20,-,-,-,8.75,7.50,5,7.08,8.75,5.0
33000155,3.20,6.50,7.20,6,7,4.50,-,-,-,5.73,7.2,3.2
33000157,2.20,4.25,1.80,-,-,-,6.25,6.50,2.75,3.96,6.5,2.2
33000158,5,6.25,6.60,-,-,-,8.50,6.75,5.25,6.39,8.5,5.0
33000159,2.40,4.50,5,-,-,-,7.50,7.75,3.50,5.11,7.75,2.4
33000160,5.40,6,7.80,-,-,-,8.50,8,6.75,7.08,8.5,5.4
33000161,6.80,7,8,5,4.50,6.25,-,-,-,6.26,8.0,4.5
33000162,5,6,8,3,7.75,4.75,-,-,-,5.75,8.0,3.0
33000163,3.60,5.25,5.20,-,-,-,5.25,6,3.50,4.8,6.0,3.5
33000164,10,8.50,7.80,-,-,-,7,7,4.75,7.51,10.0,4.75
33000165,5,5.75,6.20,3.75,3.50,6,-,-,-,5.03,6.2,3.5
33000166,5,5.75,4.40,-,-,-,7,5.25,3,5.07,7.0,3.0
33000167,3,4.75,4,-,-,-,8.50,6,2.50,4.79,8.5,2.5
33000168,7.80,7.50,6.80,-,-,-,7,7.25,2.25,6.43,7.8,2.25
33000169,9,7.50,5,-,-,-,6.75,5.75,5,6.5,9.0,5.0
33000170,5,3.75,5,-,-,-,8.50,6.25,2,5.08,8.5,2.0
33000171,2.60,6,4.60,-,-,-,7.25,6,3.75,5.03,7.25,2.6
33000172,4.80,6.25,6,-,-,-,8,6.75,5.50,6.22,8.0,4.8
33000173,3.80,5,7,4,7,7.25,-,-,-,5.67,7.25,3.8
33000174,3.40,4.25,7.60,5.75,5.50,6,-,-,-,5.42,7.6,3.4
33000175,3.20,7.25,5.40,-,-,-,7.75,6,5,5.77,7.75,3.2
33000176,5,8.08,7.40,-,-,-,8.75,7.25,7,7.25,8.75,5.0
33000177,2.60,3,7.80,3.75,7,6.75,-,-,-,5.15,7.8,2.6
33000178,3.20,8.25,6,-,-,-,6.75,5.75,4.25,5.7,8.25,3.2
33000179,2.60,5.50,3.80,-,-,-,6.75,7,3.25,4.82,7.0,2.6
33000181,2.20,5.75,8.40,4.50,6.25,6.75,-,-,-,5.64,8.4,2.2
33000182,8.80,7,6.60,-,-,-,8.25,6.50,5,7.02,8.8,5.0
33000183,4.40,7.42,7.80,5.75,7.75,7.75,-,-,-,6.81,7.8,4.4
33000184,7.80,8.25,7.40,-,-,-,7.75,6.75,4.25,7.03,8.25,4.25
33000185,7.40,6.75,7.80,6.75,7.25,7.75,-,-,-,7.28,7.8,6.75
33000180,3.40,6.25,5,-,-,-,9.50,8.25,7.50,6.65,9.5,3.4
33000186,4,6.75,6.40,-,-,-,9.25,7.75,5,6.52,9.25,4.0
33000188,8,7.50,7.60,-,-,-,9,8.25,4.25,7.43,9.0,4.25
33000189,4.20,5.50,7.60,4.75,7.75,6,-,-,-,5.97,7.75,4.2
33000192,3.60,6.25,8.60,3.25,7.50,7.50,-,-,-,6.12,8.6,3.25
33000190,5.60,6.25,7.80,5,7.25,6.75,-,-,-,6.44,7.8,5.0
33000187,3.20,6.50,7.40,-,-,-,9,8,6.25,6.73,9.0,3.2
33000191,3.80,6.25,5,-,-,-,8.25,8.75,7.75,6.63,8.75,3.8
33000193,2.20,5.50,6,-,-,-,7.75,6.75,4,5.37,7.75,2.2
33000194,5,7.75,6.60,-,-,-,9.75,7,4.25,6.73,9.75,4.25
33000195,5,6.25,6,-,-,-,9,8,6.75,6.83,9.0,5.0
33000196,2,7.50,4.40,-,-,-,7,6.25,3.75,5.15,7.5,2.0
33000197,3.20,7.50,6.80,-,-,-,9.75,6.50,7,6.79,9.75,3.2
33000198,2.60,8.25,5.20,-,-,-,8,7,5.25,6.05,8.25,2.6
33000199,3.80,5.08,4,-,-,-,7.75,6.75,3.25,5.1,7.75,3.25
33000200,6.40,8.25,6.60,-,-,-,8.50,6.50,4.50,6.79,8.5,4.5
33000201,4.80,6.75,5,-,-,-,7.50,5.75,2.75,5.42,7.5,2.75
33000202,9.20,7,7.40,-,-,-,8.75,5.75,4.25,7.06,9.2,4.25
33000203,5.60,7,3.20,-,-,-,6,5.25,2.75,4.97,7.0,2.75
33000206,9.40,7.75,8.40,-,-,-,8,7,2.75,7.22,9.4,2.75
33000204,3.20,4,6.40,-,-,-,6.25,6.75,3.75,5.06,6.75,3.2
33000208,3.20,4.75,7,-,-,-,8.50,5.50,4.50,5.58,8.5,3.2
33000205,3.40,4.75,4.40,-,-,-,6,6,2.25,4.47,6.0,2.25
33000207,9,6.75,8.40,8.75,8.50,6.50,-,-,-,7.98,9.0,6.5
33000209,5.80,5.50,7.40,-,-,-,8.75,7,5.50,6.66,8.75,5.5
33000210,6,5,7,-,-,-,8.25,6.75,5,6.33,8.25,5.0
33000211,6.20,7.25,7.20,-,-,-,7.75,7.25,3.25,6.48,7.75,3.25
33000215,2.20,6.50,4.80,-,-,-,8,6.50,4.50,5.42,8.0,2.2
33000218,4.60,6.50,4.40,-,-,-,7.75,6.25,3.50,5.5,7.75,3.5
33000214,8,8.50,8,-,-,-,8.75,7.25,4,7.42,8.75,4.0
33000217,6.60,5.25,8.60,3.75,3.75,7,-,-,-,5.83,8.6,3.75
33000213,6.60,7.50,6.40,-,-,-,8.75,6,2.75,6.33,8.75,2.75
33000212,4.60,6,6,-,-,-,9,5.50,3,5.68,9.0,3.0
33000219,6.20,7.75,6.20,-,-,-,7.50,6.25,2.75,6.11,7.75,2.75
33000216,3.20,5.25,3.80,3.50,3.50,3.25,-,-,-,3.75,5.25,3.2
33000221,5.20,5,3.60,-,-,-,8,6.75,3,5.26,8.0,3.0
33000223,4.20,4.50,5.60,-,-,-,9,8,3.75,5.84,9.0,3.75
33000222,2.60,5.25,4.20,-,-,-,7.25,5.25,2.50,4.51,7.25,2.5
33000220,7.80,8,8,-,-,-,7.75,6.25,4.50,7.05,8.0,4.5
33000225,8,7.75,6.80,-,-,-,9.75,6.75,3.50,7.09,9.75,3.5
33000226,2.80,5.75,4,-,-,-,8.25,6.75,4.25,5.3,8.25,2.8
33000224,7.20,8,6.40,-,-,-,9.25,8.25,5,7.35,9.25,5.0
33000227,9.60,7.25,8,-,-,-,9.25,9,7.75,8.47,9.6,7.25
33000233,3.40,4.25,3.40,-,-,-,7.75,5,3,4.47,7.75,3.0
33000228,3.60,5,6.80,-,-,-,7,6.50,4.25,5.52,7.0,3.6
33000234,3.80,5.75,6.60,-,-,-,6.75,7,3.75,5.61,7.0,3.75
33000230,2.80,5,3,-,-,-,6.25,5.75,3,4.3,6.25,2.8
33000229,8.40,8,7.20,-,-,-,8,7.75,3.75,7.18,8.4,3.75
33000232,3.20,6.25,4,-,-,-,6,5.50,3,4.66,6.25,3.0
33000231,8.60,6,9,5.75,8.25,7.75,-,-,-,7.56,9.0,5.75
33000235,5,6.25,8.60,6,7.50,8.25,-,-,-,6.93,8.6,5.0
33000236,8.40,6,9,6.75,8.25,8.50,-,-,-,7.82,9.0,6.0
33000237,3.20,7.25,6.80,-,-,-,8,7,5.75,6.33,8.0,3.2
33000238,9,7.25,8.60,-,-,-,8.75,8.50,7,8.18,9.0,7.0
33000241,5.60,4.50,7.60,6.75,7.50,4.25,-,-,-,6.03,7.6,4.25
33000242,4.20,4.50,6.80,-,-,-,6.50,6,2.75,5.12,6.8,2.75
33000244,4,3.75,3.60,-,-,-,7.25,5,4,4.6,7.25,4.0
33000239,9.20,5.25,8.60,5.50,7.75,6.25,-,-,-,7.09,9.2,5.25
33000240,8.80,8.50,7,-,-,-,8.50,8.25,5.50,7.76,8.8,5.5
33000243,5.60,3.25,3,-,-,-,8.75,6.50,3,5.02,8.75,3.0
33000246,3.80,5,4.20,-,-,-,6,6.25,2.50,4.62,6.25,2.5
33000247,6.20,5.75,7.40,-,-,-,8.75,7.50,2.75,6.39,8.75,2.75
33000248,3,6.50,4.80,-,-,-,9.25,5.75,6.75,6.01,9.25,3.0
33000245,8.20,7.75,6,-,-,-,9,8.50,4.75,7.37,9.0,4.75
33000249,3,5,4.20,-,-,-,6,4.75,2,4.16,6.0,2.0
33000252,7,5.50,9.20,5,7.50,7.50,-,-,-,6.95,9.2,5.0
33000253,9.40,6.50,8.80,5.75,7,8.25,-,-,-,7.62,9.4,5.75
33000256,7.40,8,7.80,-,-,-,8.25,6.75,2.75,6.83,8.25,2.75
33000254,4,5.75,4,-,-,-,7.75,8.50,5.75,5.96,8.5,4.0
33000255,4.20,2.25,4.20,-,-,-,7,6,3.25,4.48,7.0,2.25
33000251,2.80,6.50,4.60,-,-,-,7.75,5.25,4.25,5.19,7.75,2.8
33000250,9,8.25,7,-,-,-,9,7.50,5.25,7.67,9.0,5.25
33000257,2.20,5.50,6.60,-,-,-,8,5.25,3.25,5.13,8.0,2.2
33000261,3.40,5.50,6.60,-,-,-,7.25,5,3.25,5.17,7.25,3.25
33000258,7.80,8.50,7.20,-,-,-,9.25,7,4.50,7.38,9.25,4.5
33000260,4.40,6,6.80,-,-,-,8.50,6.50,4,6.03,8.5,4.0
33000259,8,7.75,7.40,-,-,-,8.75,7.25,3.75,7.15,8.75,3.75
33000264,5.20,6.50,7.40,4.75,6.75,7,-,-,-,6.27,7.4,4.75
33000262,7.20,6.75,7.20,-,-,-,9.50,7.25,5.75,7.27,9.5,5.75
33000265,4.60,5,4.60,-,-,-,8,5.75,2.50,5.08,8.0,2.5
33000263,3.60,6.50,7.40,-,-,-,8.50,7.75,5.25,6.5,8.5,3.6
33000267,9.40,5.50,8,5,6.75,9.25,-,-,-,7.32,9.4,5.0
33000266,9.20,6,7.40,6,5.25,8,-,-,-,6.98,9.2,5.25
33000269,3.80,5.75,8,4,7.50,7.25,-,-,-,6.05,8.0,3.8
33000268,7.80,6.25,7.80,4.25,9,6.75,-,-,-,6.98,9.0,4.25
33000270,4.40,5,5,-,-,-,8.50,6,2.25,5.19,8.5,2.25
33000271,4,6.75,4.80,-,-,-,8,5.75,4.25,5.59,8.0,4.0
33000273,5.20,7.25,7.40,-,-,-,9.50,6.50,5.75,6.93,9.5,5.2
33000275,4,5,5.60,-,-,-,7.25,7.75,6,5.93,7.75,4.0
33000276,3.80,5.50,5.80,-,-,-,8,7,5.25,5.89,8.0,3.8
33000274,3.40,5,3.20,-,-,-,8,7,6,5.43,8.0,3.4
33000277,4.40,6,6.40,-,-,-,8,7,6.50,6.38,8.0,4.4
33000279,3.40,3,4.80,-,-,-,5,4.50,3.50,4.03,5.0,3.0
33000278,2.80,5,3.80,-,-,-,7.25,5,5,4.81,7.25,2.8
33000272,7.40,6.75,7.60,-,-,-,9.25,7,3.50,6.92,9.25,3.5
33000280,5.20,6.25,5,-,-,-,6.75,6.75,5.50,5.91,6.75,5.2
33000285,3.20,7.50,4.60,-,-,-,8.25,6.25,3.75,5.59,8.25,3.2
33000286,6.40,6.50,6.60,-,-,-,7,6.25,2,5.79,7.0,2.0
33000290,9.40,7.50,8.60,6,9,8.25,-,-,-,8.12,9.4,6.0
33000292,3.20,3.75,2,-,-,-,6.25,5,3.75,3.99,6.25,3.2
33000284,9.40,8.25,6.80,-,-,-,7.50,5,4.50,6.91,9.4,4.5
33000288,2.80,6.50,5.20,-,-,-,7.75,6,7.25,5.92,7.75,2.8
33000281,3,3.75,5.20,-,-,-,6.75,6.50,3.50,4.78,6.75,3.0
33000283,8.80,7.75,6.60,-,-,-,9,8,7,7.86,9.0,7.0
33000282,3,7.25,7.60,-,-,-,9,7.50,5,6.56,9.0,3.0
33000287,5,6.25,8.40,4.50,5.50,6.25,-,-,-,5.98,8.4,4.5
33000291,9.60,7,8.40,4.75,4.25,8.25,-,-,-,7.04,9.6,4.25
33000289,4.20,7,6,-,-,-,7.25,6,3.25,5.62,7.25,3.25
33000293,3.60,7,6,-,-,-,7.25,5.75,2.50,5.35,7.25,2.5
33000295,3.60,2.50,2.80,-,-,-,6.25,5.25,3.75,4.02,6.25,2.5
33000294,7.60,7.75,6,-,-,-,9,7.25,7.25,7.48,9.0,7.25
33000296,3.20,5.83,6.60,-,-,-,6.50,6.25,3,5.23,6.6,3.0
33000298,8.20,5.75,8.60,-,-,-,9.25,8.25,8.25,8.05,9.25,5.75
33000299,4.40,6,7.80,5.25,5.25,6.75,-,-,-,5.91,7.8,4.4
33000300,2,4.75,5.60,-,-,-,6.50,6.25,6.50,5.27,6.5,2.0
33000297,7,5,6.60,4.25,4,7.75,-,-,-,5.77,7.75,4.0
33000301,3.60,7.50,6.40,-,-,-,9.25,7.50,4.25,6.42,9.25,3.6
33000302,8.40,8.25,7.80,4.50,6.50,5.50,-,-,-,6.83,8.4,4.5
33000303,4.40,5,6,-,-,-,7,5.25,4.25,5.32,7.0,4.25
33000306,8,8,7,-,-,-,9.25,7.50,3,7.12,9.25,3.0
33000308,2.40,4,2.80,-,-,-,7,6,4,4.37,7.0,2.4
33000304,9,8.50,7.60,-,-,-,9,7.75,6.50,8.06,9.0,6.5
33000307,9.20,7.50,8.40,5.25,6.50,9,-,-,-,7.64,9.2,5.25
33000305,9.20,7,8.60,-,-,-,8.50,7.50,4,7.47,9.2,4.0
33000309,5,6.50,7.60,4.50,5.25,7.50,-,-,-,6.06,7.6,4.5
33000310,9,7.75,7.40,-,-,-,8.75,8,6,7.82,9.0,6.0
33000314,4.80,5.75,7.60,-,-,-,7.75,6.75,3.50,6.02,7.75,3.5
33000317,9.60,6.75,9.60,6.25,7.25,8.50,-,-,-,7.99,9.6,6.25
33000311,9.60,7.25,8.80,5.50,7,8.25,-,-,-,7.73,9.6,5.5
33000312,9.20,7.50,8.80,5,5.50,8.75,-,-,-,7.46,9.2,5.0
33000315,9.40,7.50,7,-,-,-,7.75,7,5,7.27,9.4,5.0
33000313,9.20,5.25,8.20,5.75,6.25,7.75,-,-,-,7.07,9.2,5.25
33000316,3.40,5,4.20,-,-,-,8,7.25,3.75,5.27,8.0,3.4
33000319,7.40,5.25,7.60,-,-,-,9,7,3.75,6.67,9.0,3.75
33000318,2.20,4.25,3,-,-,-,8,6.25,3.75,4.58,8.0,2.2
33000326,8.40,6.25,8,5.25,5,5.50,-,-,-,6.4,8.4,5.0
33000327,9,7.25,9.40,6.50,5.50,8,-,-,-,7.61,9.4,5.5
33000321,2.80,7,2.80,-,-,-,9.25,6.75,4.25,5.48,9.25,2.8
33000323,3.80,6.25,5.60,-,-,-,7,6.25,3,5.32,7.0,3.0
33000322,4.40,5.25,9.60,6,7.75,7.50,-,-,-,6.75,9.6,4.4
